商品名,テイスティングノート,URL,原産国,地域,ブランド,メーカー,アルコール度数（%）,容量 (ml／g),銘柄,ビンテージ,年数
ダルユーイン 2013 8年 47.5% 700MLカーンモア ストリクトリー リミテッド,,https://www.saketry.com/112430.html,スコットランド,スペイサイド,カーンモア ストリクトリー リミテッド,モリソン・スコッチウイスキー ディスティラリーズ(旧モリソン＆マッカイ),47.5,700,ダルユーイン蒸留所,2013,8
ダルユーイン 2012 9年 47.5% 700MLカーンモアストリクトリー リミテッド,,https://www.saketry.com/112431.html,スコットランド,スペイサイド,カーンモア ストリクトリー リミテッド,モリソン・スッコチウイスキー ディスティラーズ,47.5,700,ダルユーイン蒸留所,2013,9
オルトモア 2012 9年 47.5% 700MLカーンモア ストリクトリー リミテッド,,https://www.saketry.com/112432.html,スコットランド,スペイサイド,カーンモア ストリクトリー リミテッド,モリソン・スッコチウイスキー ディスティラーズ,47.5,700,オルトモア蒸留所,2012,9
ザ・イングリッシュウイスキー12年 46% 700MLケイデンヘッド,"香り：燃えさしの煙、バニラ、ヘザー、麻布、焼いたオレンジ、焦げた杉の木。
味わい：バニラ、シロップ、ハニーローストカシューナッツ、落ち着きのあるピート、ヘザーハニー。
フィニッシュ：焦がしたオレンジ、杉の木、ヘザーハニー。",https://www.saketry.com/112433.html,イングランド,ノーフォーク,オリジナルコレクション,J&A Mitchell & Co Ltd,46,700,セント・ジョージズ蒸留所,,12
鄭問三國志 洛陽炎上 ポートシャーロット 2004 17年 60.1% 700ML鄭問三國志,"香り：メープルシロップ、フルーツの煮込み、スモーキーでピート、ハチミツ、ブルーチーズ、マーマレード、ドライマンゴー、
味わい：スモーキーで灰、トロピカルフルーツ、モカ。
フィニッシュ：ダークチョコレート、塩味の纏った風、モカ、イチジクジャム。",https://www.saketry.com/112434.html,スコットランド,アイラ,鄭問三國志,THE WHISKY FIND,60.1,700,ブルイックラディ蒸留所,2004,17
TWF HITTEN NEKO 第2弾 グレンロセス 2008 13年 64.8% 700mlHiten Neko シリーズ,"香り：グレープフルーツピール、オレンジピール、トロピカルフルーツ、レモングラス、ハチミツ、レーズン、ウッディ、スモーキー。
味わい：フルーティー、ハチミツ、プラム、ドライフルーツ、マーマレード、ココア。
フィニッシュ：ドライフルーツ、ハチミツ、ローガンベリー、ウッディ、タバコ。",https://www.saketry.com/112435.html,スコットランド,スペイサイド,Hiten Neko,THE WHISKY FIND,64.8,700,グレンロセス蒸留所,2008,13
ジェネラル ウイスキー トレーダーズ アイラシングルモルト1990 30年 バーボンバレル 52.4% 700MLジェネラル ウイスキー トレーダーズ,"香り：パイナップルウォーターをスモークしたフルーティさ、ヴィンテージレザー、潮、ベーコンのようなミーティ。
味わい：潮気、ピートスモーク、キャンディの甘味、スパイス、シガーボックス、甘さを抑えたホワイトチョコレート。
フィニッシュ：ダージリン茶葉の渋み、長い余韻。",https://www.saketry.com/112437.html,スコットランド,アイラ,ジェネラル・ウイスキー・トレーダーズ,クルーシャルドリンクス,52.4,700,,1990,30
ジェネラル ウイスキー トレーダーズ トマーティン 2006 14年 バーボンバレル 52.0% 700MLジェネラル ウイスキー トレーダーズ,"香り：金柑、りんご飴、オーク、トフィー、キャラメル。
味わい：麦芽の優しい甘味、ジューシーな桃、レモンバニラクリーム。
フィニッシュ：香ばしいクルミ。",https://www.saketry.com/112438.html,スコットランド,ハイランド,ジェネラル・ウイスキー・トレーダーズ,クルーシャルドリンクス,52,700,トマーティン蒸留所,2006,14
アラン 25年 46% 700MLアラン25年,"香り：ドライイチジク、サルタナ、甘く熟したブラックチェリー、豊かなオーク、ほんのりのナツメグ。
味わい：トーストしたアーモンド、シナモンを加えたフルーツケーキ、マンダリン、マヌカハニー、ブラウンシュガー、
フィニッシュ：ダークチョ、ダークフルーツのコンポート、スパイスの効いたクリーミーな余韻。",https://www.saketry.com/112439.html,スコットランド,アイランズ,,,46,700,アイル オブ アラン蒸溜所,,25
進撃の巨人 アードモア 1999 21年 バーボンバレル 52.4% 700ml進撃の巨人,"香り：べっこう飴のような甘いアロマ、かりんジャム、シナモン、落ち着きのあるスモーク香。
味わい：バニラクリーム、ショートブレット、トーストしたオーク、白コショウ、奥行きのある味わい。
フィニッシュ：トフィーの甘味、心地よい甘味の余韻。",https://www.saketry.com/112440.html,スコットランド,ハイランド,進撃の巨人,,52.4,700,アードモア蒸溜所,1999,
進撃の巨人 タリバーデン 1993 28年 ホグスヘッド 46.8% 700ml進撃の巨人,"香り：カスタード、ウエハースの甘く柔らかなアロマ、麦藁、麻布、紅茶、岩塩のミネラル感、焦がしたオーク。
味わい：洋ナシ、バニラクリーム、おろしたてのナツメグ、ハーブ、キャラメル。
フィニッシュ：ダージリング、カカオ二ブ、苦味の効いた甘味の余韻。",https://www.saketry.com/112441.html,スコットランド,ハイランド,進撃の巨人,,46.8,700,タリバーディン蒸留所,1993,28
ブロッサムズ シークレットスペイサイド 1995 26年 バーボンバレル 53.6% 700MLブロッサムズ,"香り：熟した黄桃、バニラ、フルーティなアロマ、トフィー、シロップ、黒く熟したオリーブ、ティアレの花、オーク。
味わい：熟れた黄桃、黄色いフルーツ、バニラクリーム、、柔らかな甘みのハチミツ、シトラスキャンディ、オークスパイス。
フィニッシュ：ソフトな甘みで長い余韻。",https://www.saketry.com/112442.html,スコットランド,スペイサイド,ブロッサムズ,,53.6,700,,1995,26
ウイスキー ギャラリー グレングラント 1998 23年 52.0% 700MLウイスキー ギャラリー,"香り：べっこう飴の甘く柔らかなアロマにオレンジブランデー、バタースコッチ、バニラ、マジパン、ほんのりと乾燥したローリエ。
味わい：バニラバタークリーム、クリーミー、シロップで煮込んだアプリコット、キャラメル、ナッツメグ。
フィニッシュ：カカオニブ、苦味、ジンジャーの辛さ、フローラルな香水様のアロマ。",https://www.saketry.com/112443.html,スコットランド,スペイサイド,Whisky Gallery,,52,700,グレングラント蒸留所,1998,23
キルケラン ヘビリーピーテッド バッチ5 57.7% 700MLキルケラン ヘビリーピーテッド,"香り：焼きマシュマロ、ピートスモーク、潮風、赤い果実。
味わい：ピートスモーク、灰、ビスケット、バナナ、リンゴ、ほんのり潮。",https://www.saketry.com/112444.html,スコットランド,キャンベルタウン,キルケラン,J&A Mitchell & Co Ltd,57.70%,700,ミチェルズ・グレンガイル蒸留所,,
レダイグ 2008 シェリーバット 13年 55.0% 700MLジェネラルウイスキートレーダーズ,"香り：いぶれがっこのようなスモーキーさ、潮、バニラ、麦わら。
味わい：ピートスモーク、出汁の旨み、潮、ペッパー、レモンドロップ、やさしい甘味。
フィニッシュ：ピートスモーク。",https://www.saketry.com/112446.html,スコットランド,アイランズ,ジェネラル・ウイスキー・トレーダーズ,クルーシャルドリンクス,55,700,トバモリー蒸留所,2008,13
BB&R オークニー シングルモルト 2006 ホグスヘッド 15年 61.6% 700ML日本向けシングルカスク,,https://www.saketry.com/112447.html,スコットランド,アイランズ,,ベリーブラザーズ＆ラッド,61.6,700,,2006,15
ワットウイスキー アードモア 2009 11年 52% 700MLザ・エレクトリック クー シリーズ,"香り：白い花、ブランデー、ライチ、ピート、焼き立てのパン、草。
味わい：砂糖菓子、クリスマススパイス、オーク、ピートスモーク、黄色い果実。",https://www.saketry.com/112448.html,スコットランド,ハイランド,ザ エレクトリック クー シリーズ,ワットウイスキー,52,700,アードモア蒸溜所,2009,11
ワットウイスキー マノックモア 2008 アイラカスク 12年 53% 700MLザ エレクトリック クー シリーズ,"香り：スモーキーなパンナコッタ、カラメリゼしたジンジャー、トースト、灰。
味わい：モルト、ピートスモーク、焼きリンゴ、ハチミツ、オークスパイス。",https://www.saketry.com/112449.html,スコットランド,スペイサイド,ザ エレクトリック クー シリーズ,ワットウイスキー,53,700,マノックモア蒸留所,2008,12
ワットウイスキー グレンアラヒー 2008 シェリーバット 13年 55% 700MLザ エレクトリック クー シリーズ,"香り：シェリー、ピーナッツバター、ブルーベリージャム、チェリー。
味わい：ドライフルーツケーキ、デーツ、ナッツ、シナモン、オーク。",https://www.saketry.com/112450.html,スコットランド,スペイサイド,ザ エレクトリック クー シリーズ,ワットウイスキー,55,700,グレンアラヒー蒸留所,2008,13
ワット ウイスキー アン オークニー 2007 シェリー ホグスヘッド 14年 54% 700MLザ エレクトリック クー シリーズ,"香り：ドライフルーツ、シナモン、ヘザー、穏やかなスモーキーさ。
味わい：フルーツコンポート、サルナタ、ヘザーハニー、ライトなピートスモーク。",https://www.saketry.com/112451.html,スコットランド,アイランズ,ザ エレクトリック クー シリーズ,ワットウイスキー,54,700,,2007,14
ワットウイスキー ポートダンダス 2000 ラムカスク(フォースクエア) 21年 51% 700MLザ エレクトリック クー シリーズ,"香り：ビスケット、ココアバター、ベリーのゼリー、アップルパイ、ライムの葉。
味わい：ベリージャム、ジンジャーブレンド、シナモン、ペッパー、カスタードクリーム。",https://www.saketry.com/112452.html,スコットランド,ローランド,ザ エレクトリック クー シリーズ,ワットウイスキー,51,700,ポートダンダス蒸留所,2000,21
｢ゴジラ｣ ラベル グレンファークラス 1992 29年 54.6% 700ML漫画ラベルシリーズ,"香り：カカオマスの含有率が高いチョコレート。ミルクを少し入れたココア。アルコール漬けのチェリー。ウッディな香りを、シェリーの甘さが包んでいる。
味わい：ガトーショコラの生クリームがけ。枝付きのレーズンとバナナチップ。最初はビターだが、甘さがバランスをとりスムーズ。",https://www.saketry.com/112454.html,スコットランド,スペイサイド,漫画ラベルシリーズ,J&G.グラント,54.6,700,グレンファークラス蒸留所,1992,29
トーモア マルサラ ホグスヘッド2013 8年 50.0% 700mlハートブラザーズ・ファイネスト・コレクション,,https://www.saketry.com/112461.html,スコットランド,スペイサイド,ハートブラザーズ ファイネストコレクション,Campbell Meyer & Company,50,700,トーモア蒸溜所,2013,8
ブラックラ アルマニャックウッド 2010 10年 50.0% 700mlハートブラザーズ・ファイネスト・コレクション,,https://www.saketry.com/112462.html,スコットランド,スペイサイド,ハートブラザーズ ファイネストコレクション,Campbell Meyer & Company,50,700,ブラックラ蒸溜所,2010,10
タリバーディン 2005 16年 46.0% 700mlハートブラザーズ・ファイネスト・コレクション,,https://www.saketry.com/112463.html,スコットランド,ハイランド,ハートブラザーズ ファイネストコレクション,Campbell Meyer & Company,46,700,タリバーディン蒸溜所,2005,16
